timestamps,TP9,AF7,AF8,TP10,Right AUX
1722219902.288,-47.852,-652.832,-52.734,-69.824,0.000
1722219902.292,-56.641,-379.395,-2.930,-56.641,0.000
1722219902.296,-43.457,-101.074,16.602,-51.270,0.000
1722219902.300,-32.715,-423.828,-49.316,-59.082,0.000
1722219902.304,-43.945,-709.473,-69.824,-70.801,0.000
1722219902.308,-63.477,-391.113,-13.672,-65.430,0.000
1722219902.312,-49.805,-246.582,-4.883,-51.758,0.000
1722219902.316,-33.203,-664.062,-94.727,-54.199,0.000
1722219902.319,-39.551,-869.141,-103.027,-65.430,0.000
1722219902.323,-54.688,-412.109,6.836,-69.336,0.000
1722219902.327,-45.898,-188.965,10.742,-59.570,0.000
1722219902.331,-23.438,-627.930,-83.496,-58.105,0.000
1722219902.335,-31.738,-809.082,-75.684,-73.730,0.000
1722219902.339,-52.734,-357.910,4.395,-76.172,0.000
1722219902.343,-58.594,-312.988,-22.949,-64.453,0.000
1722219902.347,-39.551,-507.812,-25.879,-67.383,0.000
1722219902.351,-39.062,-464.355,-17.090,-81.055,0.000
1722219902.355,-53.223,-328.613,-25.879,-79.102,0.000
1722219902.359,-54.688,-431.641,-35.645,-51.758,0.000
1722219902.363,-37.598,-730.469,-52.734,-43.945,0.000
1722219902.366,-22.949,-922.852,-54.688,-62.012,0.000
1722219902.370,-39.551,-793.457,-26.855,-77.148,0.000
1722219902.374,-62.988,-623.535,-31.250,-68.848,0.000
1722219902.378,-48.828,-740.234,-54.688,-47.852,0.000
1722219902.382,-24.414,-554.199,-8.789,-64.453,0.000
1722219902.386,-29.785,-399.414,-25.879,-92.773,0.000
1722219902.390,-47.852,-736.816,-82.031,-82.031,0.000
1722219902.394,-41.992,-756.836,-51.270,-60.059,0.000
1722219902.398,-19.531,-289.551,8.301,-66.406,0.000
1722219902.402,-19.043,-277.344,-24.414,-83.008,0.000
1722219902.406,-44.922,-663.086,-79.590,-77.148,0.000
1722219902.410,-56.152,-990.234,-81.543,-62.012,0.000
1722219902.413,-37.598,-700.195,-19.531,-73.730,0.000
1722219902.417,-41.016,-315.918,16.113,-92.285,0.000
1722219902.421,-55.664,-713.867,-116.211,-84.473,0.000
1722219902.425,-56.152,-882.812,-128.418,-64.453,0.000
1722219902.429,-38.086,-350.098,38.086,-56.152,0.000
1722219902.433,-19.531,-321.777,-4.395,-62.500,0.000
1722219902.437,-25.879,-746.582,-72.754,-70.801,0.000
1722219902.441,-43.945,-671.875,-30.273,-61.523,0.000
1722219902.445,-38.574,-507.324,-16.113,-54.688,0.000
1722219902.449,-18.066,-772.461,-64.941,-63.965,0.000
1722219902.453,-27.832,-886.230,-78.613,-80.078,0.000
1722219902.456,-47.852,-946.777,-74.707,-78.613,0.000
1722219902.460,-48.828,-936.523,-53.223,-59.570,0.000
1722219902.464,-35.156,-896.484,-50.293,-60.059,0.000
1722219902.468,-39.062,-939.453,-111.816,-72.754,0.000
1722219902.472,-58.594,-714.355,-49.316,-74.707,0.000
1722219902.476,-68.848,-307.617,40.039,-69.336,0.000
1722219902.480,-43.945,-469.727,-25.391,-67.871,0.000
1722219902.484,-30.273,-715.820,-62.012,-74.707,0.000
1722219902.488,-48.340,-457.520,-18.066,-89.355,0.000
1722219902.492,-61.035,-341.309,-8.789,-84.473,0.000
1722219902.496,-48.340,-588.379,-45.410,-74.707,0.000
1722219902.499,-36.133,-782.227,-64.941,-95.215,0.000
1722219902.503,-39.551,-802.734,-68.848,-110.352,0.000
1722219902.507,-55.176,-925.293,-52.246,-105.469,0.000
1722219902.511,-59.082,-984.375,-87.891,-87.891,0.000
1722219902.515,-49.316,-842.773,-95.215,-91.309,0.000
1722219902.519,-56.641,-442.871,17.090,-102.539,0.000
1722219902.523,-66.406,-372.559,5.371,-76.660,0.000
1722219902.527,-65.918,-641.113,-23.926,-57.129,0.000
1722219902.531,-40.039,-497.070,6.348,-65.918,0.000
1722219902.535,-33.691,-242.188,16.113,-78.125,0.000
1722219902.539,-54.199,-464.355,-40.039,-77.637,0.000
1722219902.543,-59.570,-680.664,-41.992,-65.918,0.000
1722219902.546,-36.133,-497.070,-0.488,-55.664,0.000
1722219902.550,-29.785,-678.223,-51.270,-65.918,0.000
1722219902.554,-46.875,-962.402,-66.895,-77.148,0.000
1722219902.558,-62.012,-998.535,-99.609,-57.129,0.000
1722219902.562,-52.734,-752.930,-17.090,-48.340,0.000
1722219902.566,-42.969,-274.902,57.617,-66.406,0.000
1722219902.570,-57.129,-487.305,-26.367,-75.684,0.000
1722219902.573,-71.289,-771.973,-37.109,-67.383,0.000
1722219902.578,-62.500,-466.797,18.555,-54.199,0.000
1722219902.582,-45.898,-229.004,24.902,-64.941,0.000
1722219902.586,-47.363,-619.141,-51.758,-78.613,0.000
1722219902.589,-61.035,-841.309,-57.129,-73.242,0.000
1722219902.593,-69.336,-501.953,-9.277,-72.266,0.000
1722219902.597,-56.641,-676.270,-32.227,-76.660,0.000
1722219902.601,-48.340,-983.887,-126.465,-79.590,0.000
1722219902.605,-55.664,-901.367,-121.094,-87.402,0.000
1722219902.609,-82.031,-505.371,23.438,-86.914,0.000
1722219902.613,-72.754,-376.953,1.465,-83.984,0.000
1722219902.616,-58.105,-691.895,-58.105,-100.586,0.000
1722219902.620,-65.430,-727.539,-42.480,-107.422,0.000
1722219902.625,-69.824,-479.980,-10.742,-83.496,0.000
1722219902.628,-51.758,-459.473,-22.461,-63.965,0.000
1722219902.632,-29.785,-742.676,-57.617,-68.848,0.000
1722219902.636,-32.227,-752.930,-43.945,-73.242,0.000
1722219902.640,-58.594,-646.484,-32.715,-57.617,0.000
1722219902.644,-64.941,-853.516,-38.086,-43.945,0.000
1722219902.648,-46.387,-1000.000,-111.328,-61.523,0.000
1722219902.652,-56.641,-882.812,-69.824,-83.008,0.000
1722219902.656,-73.242,-529.297,40.527,-87.402,0.000
1722219902.659,-72.266,-570.312,-1.953,-77.637,0.000
1722219902.663,-47.363,-694.336,-12.695,-74.707,0.000
