timestamps,TP9,AF7,AF8,TP10,Right AUX
1722219704.254,-73.242,-41.992,-45.410,-102.051,0.000
1722219704.258,-58.594,-40.527,-46.875,-82.520,0.000
1722219704.262,-47.363,-46.387,-41.504,-73.730,0.000
1722219704.266,-57.129,-42.969,-42.969,-93.750,0.000
1722219704.270,-61.523,-34.180,-41.992,-92.773,0.000
1722219704.274,-51.270,-33.203,-39.551,-67.871,0.000
1722219704.277,-35.645,-33.203,-47.363,-59.082,0.000
1722219704.281,-42.969,-33.203,-52.246,-72.266,0.000
1722219704.285,-66.406,-37.598,-41.016,-73.730,0.000
1722219704.289,-62.988,-39.551,-30.762,-58.105,0.000
1722219704.293,-42.969,-41.016,-38.086,-52.246,0.000
1722219704.297,-46.387,-45.410,-52.246,-73.242,0.000
1722219704.301,-55.664,-41.992,-44.922,-80.078,0.000
1722219704.305,-52.734,-46.387,-30.762,-70.312,0.000
1722219704.308,-36.133,-47.363,-37.109,-68.848,0.000
1722219704.312,-34.180,-32.227,-38.574,-67.871,0.000
1722219704.317,-54.199,-32.227,-35.156,-74.219,0.000
1722219704.321,-62.988,-40.039,-43.945,-81.543,0.000
1722219704.324,-60.547,-40.039,-47.852,-84.473,0.000
1722219704.328,-61.523,-39.551,-45.898,-77.637,0.000
1722219704.332,-72.266,-35.156,-48.828,-81.055,0.000
1722219704.336,-71.777,-36.621,-45.410,-83.496,0.000
1722219704.340,-64.941,-43.457,-41.504,-84.961,0.000
1722219704.344,-59.082,-40.039,-46.875,-84.961,0.000
1722219704.348,-54.199,-37.598,-47.363,-81.543,0.000
1722219704.352,-64.453,-35.645,-37.598,-81.543,0.000
1722219704.355,-82.031,-39.062,-42.969,-80.078,0.000
1722219704.359,-70.312,-39.062,-48.340,-73.730,0.000
1722219704.364,-53.711,-37.598,-40.039,-68.359,0.000
1722219704.368,-54.199,-40.039,-41.016,-69.824,0.000
1722219704.371,-62.988,-36.133,-49.805,-70.801,0.000
1722219704.375,-58.594,-36.133,-59.082,-68.359,0.000
1722219704.379,-25.391,-34.180,-52.734,-57.129,0.000
1722219704.383,-38.086,-32.715,-33.691,-54.688,0.000
1722219704.387,-82.520,-41.016,-27.344,-64.941,0.000
1722219704.391,-84.961,-37.598,-30.273,-55.176,0.000
1722219704.395,-59.082,-32.715,-27.832,-41.016,0.000
